moral_tox,immoral_tox
0.2301838994026184,0.5359644293785095
0.21052472293376923,0.4515332579612732
0.18372851610183716,0.22376450896263123
0.16119514405727386,0.18786707520484924
0.1366940140724182,0.17028748989105225
0.13482394814491272,0.14781048893928528
0.10466065257787704,0.13811729848384857
0.10275544226169586,0.12692329287528992
0.09255360811948776,0.12327763438224792
0.08743443340063095,0.10839179903268814
0.08505421131849289,0.10621758550405502
0.07681320607662201,0.09473734349012375
0.06666703522205353,0.08832310140132904
0.06151105836033821,0.08603072911500931
0.06145026534795761,0.07717964798212051
0.0520717054605484,0.062088120728731155
0.05040326341986656,0.061983056366443634
0.04045813903212547,0.060081642121076584
0.03909072279930115,0.05289410799741745
0.03252856060862541,0.05045568570494652
0.02891940250992775,0.04932195693254471
0.02563057839870453,0.043810777366161346
0.022056441754102707,0.04249463602900505
0.022013571113348007,0.038948602974414825
0.021857265383005142,0.03739899769425392
0.021579692140221596,0.03695608302950859
0.02112783119082451,0.03561963513493538
0.020135965198278427,0.03327765315771103
0.019178863614797592,0.031109750270843506
0.016739169135689735,0.02839716710150242
0.014176209457218647,0.02602059580385685
0.013728161342442036,0.0234218742698431
0.011833705939352512,0.02219848334789276
0.011738420464098454,0.020516976714134216
0.010956072248518467,0.018807750195264816
0.010700101032853127,0.01773837022483349
0.010562073439359665,0.017711974680423737
0.010240991599857807,0.01742195338010788
0.010025063529610634,0.016833482310175896
0.009323528967797756,0.016628243029117584
0.008857663720846176,0.016008222475647926
0.008542150259017944,0.01570967771112919
0.007435062900185585,0.015648629516363144
0.007361600641161203,0.014888590201735497
0.006940011400729418,0.012896656058728695
0.006770729087293148,0.011511090211570263
0.0060732318088412285,0.011458227410912514
0.005556030664592981,0.01092312578111887
0.004689359106123447,0.010749776847660542
0.004472699016332626,0.010372806340456009
0.004286091309040785,0.009900652803480625
0.0041892859153449535,0.009248864836990833
0.004114125855267048,0.009052851237356663
0.0038694150280207396,0.00903292652219534
0.003500228514894843,0.009003227576613426
0.00319687626324594,0.008806762285530567
0.0031159548088908195,0.00846080668270588
0.0030684885568916798,0.008429733105003834
0.0030192320700734854,0.008067927323281765
0.0029465840198099613,0.007602688390761614
0.002907945541664958,0.006676168646663427
0.0028085976373404264,0.004836189094930887
0.0027792686596512794,0.004644239321351051
0.002569496398791671,0.004320316947996616
0.002506908029317856,0.003997958730906248
0.002475329674780369,0.003979313187301159
0.00233631394803524,0.0039600105956196785
0.0023203592281788588,0.003765662433579564
0.002280159154906869,0.0036849614698439837
0.0021668660920113325,0.003580884076654911
0.0021645701490342617,0.003499636659398675
0.0021604709327220917,0.0032464510295540094
0.0019981167279183865,0.0031299209222197533
0.0018047814955934882,0.003072683932259679
0.0017514894716441631,0.0030344994738698006
0.001684639253653586,0.0030187114607542753
0.001648556673899293,0.0029646691400557756
0.0016071369173005223,0.0028996907640248537
0.0015631098067387938,0.0028650297317653894
0.001532832277007401,0.002839223248884082
0.0015111370012164116,0.0027876500971615314
0.0014861453091725707,0.0025587561540305614
0.0013046854874119163,0.0022864332422614098
